aX,aY,aZ
0.546,0.276,0.431
0.699,0.354,0.429
0.754,0.409,0.407
0.876,0.510,0.403
0.974,0.695,0.407
1.003,0.811,0.335
1.076,0.986,0.342
1.230,1.169,0.393
1.175,1.251,0.429
1.195,1.429,0.467
1.202,1.596,0.577
1.186,1.674,0.652
1.070,1.842,0.861
0.997,1.899,1.156
0.860,1.930,1.310
0.758,1.885,1.690
0.530,1.853,2.186
0.261,1.780,2.449
0.102,1.729,3.012
-0.277,1.642,3.261
-0.869,1.508,3.606
-1.097,1.786,3.676
-1.403,1.708,3.489
-1.821,1.620,3.279
-1.972,1.600,2.902
-2.245,1.491,2.707
-2.359,1.352,2.404
-2.543,1.301,2.271
-2.557,1.319,2.300
-2.459,1.412,2.481
-2.108,1.436,2.548
-1.597,1.372,2.484
-1.296,1.274,2.198
-0.616,0.997,2.012
-0.268,0.601,1.487
0.319,0.406,0.943
0.784,0.041,0.694
0.976,-0.203,0.313
1.257,-0.314,-0.006
1.425,-0.452,-0.120
1.461,-0.508,-0.313
1.441,-0.510,-0.429
1.364,-0.438,-0.466
1.243,-0.384,-0.478
1.177,-0.334,-0.424
1.029,-0.297,-0.379
0.895,-0.232,-0.249
0.830,-0.167,-0.084
0.690,-0.128,0.084
0.543,-0.062,0.172
0.458,-0.006,0.325
0.305,0.079,0.445
0.124,0.212,0.519
-0.072,0.296,0.695
-0.074,0.323,0.875
-0.166,0.340,0.970
-0.209,0.333,1.168
-0.218,0.296,1.357
-0.211,0.276,1.437
-0.173,0.223,1.562
-0.143,0.181,1.635
-0.072,0.101,1.645
0.024,0.043,1.639
0.071,0.009,1.590
0.143,-0.047,1.541
0.174,-0.090,1.415
0.221,-0.098,1.294
0.249,-0.103,1.236
0.252,-0.103,1.121
0.242,-0.095,1.038
0.232,-0.073,1.002
0.227,-0.068,0.935
0.218,-0.064,0.895
0.206,-0.063,0.880
0.199,-0.061,0.862
0.184,-0.057,0.859
0.170,-0.048,0.866
0.165,-0.036,0.899
0.157,-0.029,0.945
0.151,-0.031,0.972
0.146,-0.042,1.017
0.143,-0.050,1.054
0.162,0.639,1.246
0.176,0.649,1.304
0.196,0.647,1.326
0.211,0.632,1.353
0.213,0.627,1.360
0.222,0.614,1.357
0.228,0.606,1.346
0.222,0.600,1.319
0.192,0.574,1.300
0.173,0.516,1.226
0.131,0.485,1.125
0.104,0.439,1.070
0.099,0.424,0.962
0.092,0.385,0.907
0.091,0.373,0.814
0.095,0.353,0.700
0.082,0.319,0.649
0.081,0.306,0.581
0.081,0.303,0.525
0.094,0.320,0.513
0.103,0.296,0.500
0.113,0.288,0.496
0.121,0.285,0.511
0.131,0.274,0.542
0.152,0.247,0.562
0.160,0.216,0.615
0.174,0.201,0.658
0.179,0.170,0.678
0.179,0.123,0.727
0.173,0.091,0.751
0.157,0.017,0.795
0.149,-0.020,0.830
0.134,-0.085,0.848
0.117,-0.147,0.865
0.106,-0.192,0.865
0.091,-0.218,0.996
0.088,-0.264,0.879
0.089,-0.307,0.876
0.091,-0.326,0.874
0.098,-0.359,0.861
0.103,-0.368,0.851
0.122,-0.378,0.848
0.138,-0.376,0.842
0.146,-0.370,0.850
0.162,-0.364,0.859
0.182,-0.361,0.879
0.188,-0.358,0.902
0.201,-0.358,0.920
0.214,-0.366,0.964
0.223,-0.499,1.007
0.238,-0.396,1.026
0.248,-0.422,1.065
0.248,-0.463,1.087
0.242,-0.476,1.095
0.228,-0.493,1.097
0.220,-0.508,1.089
0.199,-0.511,1.080
0.173,-0.500,1.060
0.163,-0.495,1.035
0.134,-0.494,1.014
0.111,-0.476,0.998
0.099,-0.448,0.970
0.065,-0.434,0.942
0.042,-0.398,0.934
0.036,-0.358,0.924
0.023,-0.344,0.922
0.006,-0.323,0.923
-0.002,-0.315,0.938
-0.006,-0.314,0.966
0.003,-0.311,0.978
0.021,-0.304,1.006
0.032,-0.300,1.031
0.047,-0.299,1.046
0.063,-0.306,1.079
0.068,-0.310,1.099
0.073,-0.318,1.107
0.083,-0.319,1.125
0.082,-0.315,1.136
0.073,-0.310,1.137
0.066,-0.312,1.145
0.057,-0.314,1.155
0.049,-0.308,1.149
0.036,-0.297,1.139
0.029,-0.289,1.132
0.027,-0.288,1.126
0.015,-0.288,1.122
0.009,-0.290,1.102
0.001,-0.289,1.089
0.001,-0.283,1.077
0.002,-0.265,1.058
0.000,-0.256,1.038
0.000,-0.243,1.030
0.000,-0.234,1.011
0.002,-0.231,0.992
0.012,-0.222,0.985
0.017,-0.209,0.977
